name,score,generations,seed,rotamers,atoms,evaluations,population,rate,iterations
1fkb_ligand,-4.085596,500,8,6,144,1050000,100,10,200
1fkb_ligand,-5.850363,194,9,6,144,407400,100,10,200
1fkb_ligand,-14.469940,254,0,6,144,88900,100,10,25
1fkb_ligand,-1.975275,128,10,6,144,44800,100,10,25
1fkb_ligand,-4.704669,218,11,6,144,76300,100,10,25
1fkb_ligand,-6.146158,171,12,6,144,59850,100,10,25
1fkb_ligand,-5.863121,243,13,6,144,85050,100,10,25
1fkb_ligand,-7.801731,500,14,6,144,175000,100,10,25
1fkb_ligand,0.379309,354,1,6,144,123900,100,10,25
1fkb_ligand,-2.390960,363,2,6,144,127050,100,10,25
1fkb_ligand,-3.143154,327,3,6,144,114450,100,10,25
1fkb_ligand,-7.633481,324,4,6,144,113400,100,10,25
1fkb_ligand,1.403888,240,5,6,144,84000,100,10,25
1fkb_ligand,-3.972108,500,6,6,144,175000,100,10,25
1fkb_ligand,-2.785916,110,7,6,144,38500,100,10,25
1fkb_ligand,-3.260299,136,8,6,144,47600,100,10,25
1fkb_ligand,-5.138906,267,9,6,144,93450,100,10,25
1fkb_ligand,-17.572020,356,0,6,144,213600,100,10,50
1fkb_ligand,-2.074039,171,10,6,144,102600,100,10,50
1fkb_ligand,-4.299901,349,11,6,144,209400,100,10,50
1fkb_ligand,-6.131354,153,12,6,144,91800,100,10,50
1fkb_ligand,-7.536415,183,13,6,144,109800,100,10,50
1fkb_ligand,-8.168432,325,14,6,144,195000,100,10,50
1fkb_ligand,-4.663094,179,1,6,144,107400,100,10,50
1fkb_ligand,-5.100152,381,2,6,144,228600,100,10,50
1fkb_ligand,-3.234148,130,3,6,144,78000,100,10,50
1fkb_ligand,-7.605258,333,4,6,144,199800,100,10,50
1fkb_ligand,-1.894685,132,5,6,144,79200,100,10,50
1fkb_ligand,-3.808635,500,6,6,144,300000,100,10,50
1fkb_ligand,-4.075549,228,7,6,144,136800,100,10,50
1fkb_ligand,-3.096074,309,8,6,144,185400,100,10,50
1fkb_ligand,-5.129251,169,9,6,144,101400,100,10,50
1fkb_ligand,-5.060513,230,0,6,144,598000,100,25,100
1fkb_ligand,-5.272570,308,10,6,144,800800,100,25,100
1fkb_ligand,-4.081477,102,11,6,144,265200,100,25,100
1fkb_ligand,-7.512556,157,12,6,144,408200,100,25,100
1fkb_ligand,-7.547830,151,13,6,144,392600,100,25,100
1fkb_ligand,-6.687381,464,14,6,144,1206400,100,25,100
1fkb_ligand,-6.776532,390,1,6,144,1014000,100,25,100
1fkb_ligand,-4.499980,231,2,6,144,600600,100,25,100
1fkb_ligand,-3.652472,176,3,6,144,457600,100,25,100
1fkb_ligand,-7.697216,251,4,6,144,652600,100,25,100
1fkb_ligand,-2.549263,218,5,6,144,566800,100,25,100
1fkb_ligand,-4.453277,93,6,6,144,241800,100,25,100
1fkb_ligand,-4.175046,79,7,6,144,205400,100,25,100
1fkb_ligand,-3.073010,169,8,6,144,439400,100,25,100
1fkb_ligand,-5.835083,228,9,6,144,592800,100,25,100
1fkb_ligand,-17.568413,357,0,6,144,124950,100,25,10
1fkb_ligand,-1.228800,317,10,6,144,110950,100,25,10
1fkb_ligand,-3.944203,131,11,6,144,45850,100,25,10
1fkb_ligand,-6.153860,224,12,6,144,78400,100,25,10
1fkb_ligand,-5.641363,158,13,6,144,55300,100,25,10
1fkb_ligand,233.773224,206,14,6,144,72100,100,25,10
1fkb_ligand,-3.770544,170,1,6,144,59500,100,25,10
1fkb_ligand,-2.985418,275,2,6,144,96250,100,25,10
1fkb_ligand,-4.894639,311,3,6,144,108850,100,25,10
1fkb_ligand,-7.225502,135,4,6,144,47250,100,25,10
1fkb_ligand,7.979875,176,5,6,144,61600,100,25,10
1fkb_ligand,686.260559,255,6,6,144,89250,100,25,10
1fkb_ligand,-2.491166,279,7,6,144,97650,100,25,10
1fkb_ligand,-4.440265,136,8,6,144,47600,100,25,10
1fkb_ligand,-4.458691,360,9,6,144,126000,100,25,10
1fkb_ligand,-15.227009,86,0,6,144,438600,100,25,200
1fkb_ligand,-4.819858,249,10,6,144,1269900,100,25,200
1fkb_ligand,-5.937873,200,11,6,144,1020000,100,25,200
1fkb_ligand,-8.445746,322,12,6,144,1642200,100,25,200
1fkb_ligand,-5.501416,151,13,6,144,770100,100,25,200
1fkb_ligand,-6.538254,219,14,6,144,1116900,100,25,200
1fkb_ligand,-6.611151,79,1,6,144,402900,100,25,200
1fkb_ligand,-5.238920,115,2,6,144,586500,100,25,200
1fkb_ligand,-4.426964,240,3,6,144,1224000,100,25,200
1fkb_ligand,-7.697969,153,4,6,144,780300,100,25,200
1fkb_ligand,-2.716156,240,5,6,144,1224000,100,25,200
1fkb_ligand,-4.873844,358,6,6,144,1825800,100,25,200
1fkb_ligand,-4.688381,76,7,6,144,387600,100,25,200
1fkb_ligand,-3.277415,289,8,6,144,1473900,100,25,200
1fkb_ligand,-7.112515,196,9,6,144,999600,100,25,200
1fkb_ligand,-16.541088,227,0,6,144,164575,100,25,25
1fkb_ligand,-2.000116,179,10,6,144,129775,100,25,25
1fkb_ligand,-3.710008,355,11,6,144,257375,100,25,25
1fkb_ligand,-6.145143,189,12,6,144,137025,100,25,25
1fkb_ligand,-5.872036,272,13,6,144,197200,100,25,25
1fkb_ligand,-6.551339,177,14,6,144,128325,100,25,25
1fkb_ligand,-3.559069,342,1,6,144,247950,100,25,25
1fkb_ligand,-4.266649,312,2,6,144,226200,100,25,25
1fkb_ligand,-3.479405,381,3,6,144,276225,100,25,25
1fkb_ligand,-7.672585,314,4,6,144,227650,100,25,25
1fkb_ligand,-5.655860,277,5,6,144,200825,100,25,25
1fkb_ligand,-4.125688,311,6,6,144,225475,100,25,25
1fkb_ligand,-1.263745,342,7,6,144,247950,100,25,25
1fkb_ligand,-3.286966,489,8,6,144,354525,100,25,25
1fkb_ligand,-5.034160,164,9,6,144,118900,100,25,25
1fkb_ligand,-4.842615,403,0,6,144,544050,100,25,50
1fkb_ligand,-2.083665,85,10,6,144,114750,100,25,50
1fkb_ligand,-3.426697,172,11,6,144,232200,100,25,50
1fkb_ligand,-6.141755,171,12,6,144,230850,100,25,50
1fkb_ligand,-7.572268,218,13,6,144,294300,100,25,50
1fkb_ligand,-5.736185,91,14,6,144,122850,100,25,50
1fkb_ligand,-2.328866,191,1,6,144,257850,100,25,50
1fkb_ligand,-4.033033,126,2,6,144,170100,100,25,50
1fkb_ligand,-3.835970,169,3,6,144,228150,100,25,50
1fkb_ligand,-7.683419,397,4,6,144,535950,100,25,50
1fkb_ligand,-2.817250,159,5,6,144,214650,100,25,50
1fkb_ligand,659.728027,219,6,6,144,295650,100,25,50
1fkb_ligand,-4.567809,272,7,6,144,367200,100,25,50
1fkb_ligand,-3.197229,472,8,6,144,637200,100,25,50
1fkb_ligand,-6.925502,283,9,6,144,382050,100,25,50
1fkb_ligand,-17.570534,94,0,6,144,479400,100,50,100
1fkb_ligand,-5.281361,184,10,6,144,938400,100,50,100
1fkb_ligand,-4.457071,186,11,6,144,948600,100,50,100
1fkb_ligand,-7.287467,226,12,6,144,1152600,100,50,100
1fkb_ligand,-6.042420,111,13,6,144,566100,100,50,100
1fkb_ligand,-6.716045,319,14,6,144,1626900,100,50,100
1fkb_ligand,-5.900748,224,1,6,144,1142400,100,50,100
1fkb_ligand,-6.213356,238,2,6,144,1213800,100,50,100
1fkb_ligand,-3.474740,158,3,6,144,805800,100,50,100
1fkb_ligand,-7.696099,157,4,6,144,800700,100,50,100
1fkb_ligand,-4.300115,240,5,6,144,1224000,100,50,100
1fkb_ligand,-5.688012,283,6,6,144,1443300,100,50,100
1fkb_ligand,-4.925323,186,7,6,144,948600,100,50,100
1fkb_ligand,-3.226836,105,8,6,144,535500,100,50,100
1fkb_ligand,-8.671519,161,9,6,144,821100,100,50,100
1fkb_ligand,-15.021866,216,0,6,144,129600,100,50,10
1fkb_ligand,-1.401435,172,10,6,144,103200,100,50,10
1fkb_ligand,-4.638269,181,11,6,144,108600,100,50,10
1fkb_ligand,-6.147794,224,12,6,144,134400,100,50,10
1fkb_ligand,-0.813129,349,13,6,144,209400,100,50,10
1fkb_ligand,-0.691423,290,14,6,144,174000,100,50,10
1fkb_ligand,-5.532005,500,1,6,144,300000,100,50,10
1fkb_ligand,-4.702411,500,2,6,144,300000,100,50,10
1fkb_ligand,-4.629631,194,3,6,144,116400,100,50,10
1fkb_ligand,-7.654975,133,4,6,144,79800,100,50,10
1fkb_ligand,-1.812844,109,5,6,144,65400,100,50,10
1fkb_ligand,61.182072,200,6,6,144,120000,100,50,10
1fkb_ligand,-5.472834,179,7,6,144,107400,100,50,10
1fkb_ligand,-3.506596,309,8,6,144,185400,100,50,10
1fkb_ligand,-7.926345,291,9,6,144,174600,100,50,10
1fkb_ligand,-17.589100,264,0,6,144,2666400,100,50,200
1fkb_ligand,-6.154856,192,10,6,144,1939200,100,50,200
1fkb_ligand,-5.840117,154,11,6,144,1555400,100,50,200
1fkb_ligand,-8.195588,231,12,6,144,2333100,100,50,200
1fkb_ligand,-6.029627,120,13,6,144,1212000,100,50,200
1fkb_ligand,-6.471644,149,14,6,144,1504900,100,50,200
1fkb_ligand,-6.078290,344,1,6,144,3474400,100,50,200
1fkb_ligand,-6.066786,122,2,6,144,1232200,100,50,200
1fkb_ligand,-4.954423,206,3,6,144,2080600,100,50,200
1fkb_ligand,-7.696684,127,4,6,144,1282700,100,50,200
1fkb_ligand,-4.473186,110,5,6,144,1111000,100,50,200
1fkb_ligand,-5.468062,106,6,6,144,1070600,100,50,200
1fkb_ligand,-5.356500,101,7,6,144,1020100,100,50,200
1fkb_ligand,-7.139605,218,8,6,144,2201800,100,50,200
1fkb_ligand,-8.757461,161,9,6,144,1626100,100,50,200
1fkb_ligand,-16.327307,190,0,6,144,256500,100,50,25
1fkb_ligand,-1.114850,324,10,6,144,437400,100,50,25
1fkb_ligand,-7.677464,189,11,6,144,255150,100,50,25
1fkb_ligand,-6.149200,161,12,6,144,217350,100,50,25
1fkb_ligand,-4.702248,285,13,6,144,384750,100,50,25
1fkb_ligand,-2.301772,260,14,6,144,351000,100,50,25
1fkb_ligand,-3.249203,122,1,6,144,164700,100,50,25
1fkb_ligand,-4.760324,240,2,6,144,324000,100,50,25
1fkb_ligand,-3.028009,96,3,6,144,129600,100,50,25
1fkb_ligand,-7.190278,154,4,6,144,207900,100,50,25
1fkb_ligand,-3.828244,179,5,6,144,241650,100,50,25
1fkb_ligand,-5.289421,138,6,6,144,186300,100,50,25
1fkb_ligand,-5.435040,332,7,6,144,448200,100,50,25
1fkb_ligand,-3.186679,269,8,6,144,363150,100,50,25
1fkb_ligand,-7.918556,294,9,6,144,396900,100,50,25
1fkb_ligand,-16.343908,140,0,6,144,364000,100,50,50
1fkb_ligand,-2.114192,204,10,6,144,530400,100,50,50
1fkb_ligand,-5.461594,229,11,6,144,595400,100,50,50
1fkb_ligand,-7.300138,124,12,6,144,322400,100,50,50
1fkb_ligand,-6.078768,309,13,6,144,803400,100,50,50
1fkb_ligand,-6.584974,278,14,6,144,722800,100,50,50
1fkb_ligand,-2.836746,109,1,6,144,283400,100,50,50
1fkb_ligand,-6.209391,262,2,6,144,681200,100,50,50
1fkb_ligand,-3.458469,197,3,6,144,512200,100,50,50
1fkb_ligand,-7.697165,451,4,6,144,1172600,100,50,50
1fkb_ligand,-1.068290,94,5,6,144,244400,100,50,50
1fkb_ligand,-3.799289,235,6,6,144,611000,100,50,50
1fkb_ligand,-5.169940,109,7,6,144,283400,100,50,50
1fkb_ligand,-2.903385,213,8,6,144,553800,100,50,50
1fkb_ligand,-8.488131,143,9,6,144,371800,100,50,50
1fkb_ligand,-16.334930,230,0,6,144,1748000,100,75,100
1fkb_ligand,-3.659752,158,10,6,144,1200800,100,75,100
1fkb_ligand,-6.612726,141,11,6,144,1071600,100,75,100
1fkb_ligand,-7.304726,92,12,6,144,699200,100,75,100
1fkb_ligand,-6.662863,162,13,6,144,1231200,100,75,100
1fkb_ligand,-6.387806,190,14,6,144,1444000,100,75,100
1fkb_ligand,-8.007017,278,1,6,144,2112800,100,75,100
1fkb_ligand,-7.620736,228,2,6,144,1732800,100,75,100
1fkb_ligand,-4.452371,180,3,6,144,1368000,100,75,100
1fkb_ligand,-7.695123,116,4,6,144,881600,100,75,100
1fkb_ligand,-4.283348,176,5,6,144,1337600,100,75,100
1fkb_ligand,-5.685168,125,6,6,144,950000,100,75,100
1fkb_ligand,-3.533695,126,7,6,144,957600,100,75,100
1fkb_ligand,-3.382718,294,8,6,144,2234400,100,75,100
1fkb_ligand,-8.675766,196,9,6,144,1489600,100,75,100
1fkb_ligand,-16.263195,193,0,6,144,164050,100,75,10
1fkb_ligand,-1.303221,113,10,6,144,96050,100,75,10
1fkb_ligand,-4.599338,166,11,6,144,141100,100,75,10
1fkb_ligand,-6.154527,108,12,6,144,91800,100,75,10
1fkb_ligand,-4.653514,306,13,6,144,260100,100,75,10
1fkb_ligand,-1.745908,140,14,6,144,119000,100,75,10
1fkb_ligand,3.203120,356,1,6,144,302600,100,75,10
1fkb_ligand,-6.407381,500,2,6,144,425000,100,75,10
1fkb_ligand,-6.090197,300,3,6,144,255000,100,75,10
1fkb_ligand,-7.670821,193,4,6,144,164050,100,75,10
1fkb_ligand,-5.123381,382,5,6,144,324700,100,75,10
1fkb_ligand,-3.488731,222,6,6,144,188700,100,75,10
1fkb_ligand,-3.559872,139,7,6,144,118150,100,75,10
1fkb_ligand,-4.402976,159,8,6,144,135150,100,75,10
1fkb_ligand,-8.266729,239,9,6,144,203150,100,75,10
1fkb_ligand,-17.593906,198,0,6,144,2989800,100,75,200
1fkb_ligand,-5.890142,296,10,6,144,4469600,100,75,200
1fkb_ligand,-5.847728,308,11,6,144,4650800,100,75,200
1fkb_ligand,-7.885101,118,12,6,144,1781800,100,75,200
1fkb_ligand,-8.307857,124,13,6,144,1872400,100,75,200
1fkb_ligand,-6.508214,196,14,6,144,2959600,100,75,200
1fkb_ligand,-8.179763,100,1,6,144,1510000,100,75,200
1fkb_ligand,-7.489131,146,2,6,144,2204600,100,75,200
1fkb_ligand,-5.152194,74,3,6,144,1117400,100,75,200
1fkb_ligand,-7.702202,138,4,6,144,2083800,100,75,200
1fkb_ligand,-4.486866,204,5,6,144,3080400,100,75,200
1fkb_ligand,-5.533433,202,6,6,144,3050200,100,75,200
1fkb_ligand,-5.719701,148,7,6,144,2234800,100,75,200
1fkb_ligand,-8.732431,86,8,6,144,1298600,100,75,200
1fkb_ligand,-8.762180,198,9,6,144,2989800,100,75,200
1fkb_ligand,-14.389577,218,0,6,144,430550,100,75,25
1fkb_ligand,-3.061780,500,10,6,144,987500,100,75,25
1fkb_ligand,-6.323009,161,11,6,144,317975,100,75,25
1fkb_ligand,-6.155162,170,12,6,144,335750,100,75,25
1fkb_ligand,-5.935013,232,13,6,144,458200,100,75,25
1fkb_ligand,-2.131035,92,14,6,144,181700,100,75,25
1fkb_ligand,-1.566867,117,1,6,144,231075,100,75,25
1fkb_ligand,-3.878514,258,2,6,144,509550,100,75,25
1fkb_ligand,-5.582789,242,3,6,144,477950,100,75,25
1fkb_ligand,-7.660763,130,4,6,144,256750,100,75,25
1fkb_ligand,-3.289924,214,5,6,144,422650,100,75,25
1fkb_ligand,-3.000772,199,6,6,144,393025,100,75,25
1fkb_ligand,-3.669515,203,7,6,144,400925,100,75,25
1fkb_ligand,-3.202931,291,8,6,144,574725,100,75,25
1fkb_ligand,-7.931087,500,9,6,144,987500,100,75,25
1fkb_ligand,-17.324652,262,0,6,144,1008700,100,75,50
1fkb_ligand,-4.590763,156,10,6,144,600600,100,75,50
1fkb_ligand,-6.711248,135,11,6,144,519750,100,75,50
1fkb_ligand,-7.314148,227,12,6,144,873950,100,75,50
1fkb_ligand,-6.523114,94,13,6,144,361900,100,75,50
1fkb_ligand,-6.793450,275,14,6,144,1058750,100,75,50
1fkb_ligand,-5.946707,260,1,6,144,1001000,100,75,50
1fkb_ligand,-6.465331,363,2,6,144,1397550,100,75,50
1fkb_ligand,-3.141531,310,3,6,144,1193500,100,75,50
1fkb_ligand,-7.698073,180,4,6,144,693000,100,75,50
1fkb_ligand,-2.277734,314,5,6,144,1208900,100,75,50
1fkb_ligand,-5.551310,138,6,6,144,531300,100,75,50
1fkb_ligand,-3.643423,162,7,6,144,623700,100,75,50
1fkb_ligand,-3.162290,229,8,6,144,881650,100,75,50
1fkb_ligand,-5.966821,191,9,6,144,735350,100,75,50
1hii_ligand,-13.152899,500,0,19,93,5050000,100,100,100
1hii_ligand,-2.285249,120,10,19,93,1212000,100,100,100
1hii_ligand,-4.352589,86,11,19,93,868600,100,100,100
1hii_ligand,-4.587900,236,12,19,93,2383600,100,100,100
1hii_ligand,1.550625,298,13,19,93,3009800,100,100,100
1hii_ligand,-2.090350,232,14,19,93,2343200,100,100,100
1hii_ligand,-3.731967,148,1,19,93,1494800,100,100,100
1hii_ligand,-4.131891,97,2,19,93,979700,100,100,100
1hii_ligand,-8.752815,160,3,19,93,1616000,100,100,100
1hii_ligand,-3.378221,172,4,19,93,1737200,100,100,100
1hii_ligand,-3.340844,106,5,19,93,1070600,100,100,100
1hii_ligand,-1.391965,104,6,19,93,1050400,100,100,100
1hii_ligand,-3.005875,100,7,19,93,1010000,100,100,100
1hii_ligand,7.311783,224,8,19,93,2262400,100,100,100
1hii_ligand,-3.463816,250,9,19,93,2525000,100,100,100
1hii_ligand,-5.838149,500,0,19,93,550000,100,100,10
1hii_ligand,12.253229,500,10,19,93,550000,100,100,10
1hii_ligand,-1.983503,500,11,19,93,550000,100,100,10
1hii_ligand,-0.418701,500,12,19,93,550000,100,100,10
1hii_ligand,11.946377,500,13,19,93,550000,100,100,10
1hii_ligand,-2.110594,183,14,19,93,201300,100,100,10
1hii_ligand,-0.213310,500,1,19,93,550000,100,100,10
1hii_ligand,46.161583,500,2,19,93,550000,100,100,10
1hii_ligand,2077.360596,500,3,19,93,550000,100,100,10
1hii_ligand,-3.976943,450,4,19,93,495000,100,100,10
1hii_ligand,34.228653,500,5,19,93,550000,100,100,10
1hii_ligand,-1.723123,500,6,19,93,550000,100,100,10
1hii_ligand,-2.603577,500,7,19,93,550000,100,100,10
1hii_ligand,29.881445,500,8,19,93,550000,100,100,10
1hii_ligand,-1.152413,500,9,19,93,550000,100,100,10
1hii_ligand,-13.452349,268,0,19,93,5386800,100,100,200
1hii_ligand,-9.229240,176,10,19,93,3537600,100,100,200
1hii_ligand,-5.061400,112,11,19,93,2251200,100,100,200
1hii_ligand,-4.594420,146,12,19,93,2934600,100,100,200
