name,score,generations,seed,rotamers,atoms,evaluations,population,rate,iteration
1fkb_ligand,-2.068210,19,5,6,144,96900,100,100,50
1fkb_ligand,-7.309998,19,6,6,144,96900,100,100,50
1fkb_ligand,-4.802882,19,7,6,144,96900,100,100,50
1fkb_ligand,-3.076073,19,8,6,144,96900,100,100,50
1fkb_ligand,-7.593157,19,9,6,144,96900,100,100,50
1fkb_ligand,-11.829434,90,0,6,144,99000,100,10,100
1fkb_ligand,-5.296602,90,10,6,144,99000,100,10,100
1fkb_ligand,-3.811856,90,11,6,144,99000,100,10,100
1fkb_ligand,-8.196663,90,12,6,144,99000,100,10,100
1fkb_ligand,-6.169809,90,13,6,144,99000,100,10,100
1fkb_ligand,-4.235074,90,14,6,144,99000,100,10,100
1fkb_ligand,-3.419626,90,1,6,144,99000,100,10,100
1fkb_ligand,-4.446409,90,2,6,144,99000,100,10,100
1fkb_ligand,-5.072493,90,3,6,144,99000,100,10,100
1fkb_ligand,-7.762483,90,4,6,144,99000,100,10,100
1fkb_ligand,-2.337793,90,5,6,144,99000,100,10,100
1fkb_ligand,-5.438352,90,6,6,144,99000,100,10,100
1fkb_ligand,-4.879606,90,7,6,144,99000,100,10,100
1fkb_ligand,-1.976374,90,8,6,144,99000,100,10,100
1fkb_ligand,-5.045321,90,9,6,144,99000,100,10,100
1fkb_ligand,-17.562075,500,0,6,144,100000,100,10,10
1fkb_ligand,-1.098641,500,10,6,144,100000,100,10,10
1fkb_ligand,-5.217042,500,11,6,144,100000,100,10,10
1fkb_ligand,-6.152870,500,12,6,144,100000,100,10,10
1fkb_ligand,-5.333531,500,13,6,144,100000,100,10,10
1fkb_ligand,-6.591707,500,14,6,144,100000,100,10,10
1fkb_ligand,-0.375674,500,1,6,144,100000,100,10,10
1fkb_ligand,-4.005002,500,2,6,144,100000,100,10,10
1fkb_ligand,-4.928625,500,3,6,144,100000,100,10,10
1fkb_ligand,-7.467875,500,4,6,144,100000,100,10,10
1fkb_ligand,-3.119286,500,5,6,144,100000,100,10,10
1fkb_ligand,-4.461429,500,6,6,144,100000,100,10,10
1fkb_ligand,-1.522683,500,7,6,144,100000,100,10,10
1fkb_ligand,-4.272662,500,8,6,144,100000,100,10,10
1fkb_ligand,-5.635855,500,9,6,144,100000,100,10,10
1fkb_ligand,-16.295944,47,0,6,144,98700,100,10,200
1fkb_ligand,-5.106830,47,10,6,144,98700,100,10,200
1fkb_ligand,-7.180992,47,11,6,144,98700,100,10,200
1fkb_ligand,-7.640081,47,12,6,144,98700,100,10,200
1fkb_ligand,-7.519436,47,13,6,144,98700,100,10,200
1fkb_ligand,-5.247383,47,14,6,144,98700,100,10,200
1fkb_ligand,-5.584757,47,1,6,144,98700,100,10,200
1fkb_ligand,-3.501376,47,2,6,144,98700,100,10,200
1fkb_ligand,-3.185346,47,3,6,144,98700,100,10,200
1fkb_ligand,-7.794085,47,4,6,144,98700,100,10,200
1fkb_ligand,-2.090819,47,5,6,144,98700,100,10,200
1fkb_ligand,-5.788723,47,6,6,144,98700,100,10,200
1fkb_ligand,-4.903568,47,7,6,144,98700,100,10,200
1fkb_ligand,-3.304299,47,8,6,144,98700,100,10,200
1fkb_ligand,-5.830592,47,9,6,144,98700,100,10,200
1fkb_ligand,-14.469974,333,0,6,144,116550,100,10,25
1fkb_ligand,-1.985381,333,10,6,144,116550,100,10,25
1fkb_ligand,-4.724342,333,11,6,144,116550,100,10,25
1fkb_ligand,-6.146440,333,12,6,144,116550,100,10,25
1fkb_ligand,-5.863375,333,13,6,144,116550,100,10,25
1fkb_ligand,-7.773453,333,14,6,144,116550,100,10,25
1fkb_ligand,0.379309,333,1,6,144,116550,100,10,25
1fkb_ligand,-2.390960,333,2,6,144,116550,100,10,25
1fkb_ligand,-3.143154,333,3,6,144,116550,100,10,25
1fkb_ligand,-7.638780,333,4,6,144,116550,100,10,25
1fkb_ligand,1.401351,333,5,6,144,116550,100,10,25
1fkb_ligand,1.435057,333,6,6,144,116550,100,10,25
1fkb_ligand,-2.789104,333,7,6,144,116550,100,10,25
1fkb_ligand,-4.602118,333,8,6,144,116550,100,10,25
1fkb_ligand,-5.139008,333,9,6,144,116550,100,10,25
1fkb_ligand,-11.850616,32,0,6,144,99200,100,10,300
1fkb_ligand,-4.504512,32,10,6,144,99200,100,10,300
1fkb_ligand,-6.458901,32,11,6,144,99200,100,10,300
1fkb_ligand,-8.249655,32,12,6,144,99200,100,10,300
1fkb_ligand,-7.540967,32,13,6,144,99200,100,10,300
1fkb_ligand,-5.308962,32,14,6,144,99200,100,10,300
1fkb_ligand,-5.593242,32,1,6,144,99200,100,10,300
1fkb_ligand,-4.186923,32,2,6,144,99200,100,10,300
1fkb_ligand,-4.392872,32,3,6,144,99200,100,10,300
1fkb_ligand,-8.097727,32,4,6,144,99200,100,10,300
1fkb_ligand,-4.407871,32,5,6,144,99200,100,10,300
1fkb_ligand,-6.327840,32,6,6,144,99200,100,10,300
1fkb_ligand,-4.868930,32,7,6,144,99200,100,10,300
1fkb_ligand,1693.896973,32,8,6,144,99200,100,10,300
1fkb_ligand,-7.000941,32,9,6,144,99200,100,10,300
1fkb_ligand,-17.565863,166,0,6,144,99600,100,10,50
1fkb_ligand,-2.074039,166,10,6,144,99600,100,10,50
1fkb_ligand,-4.293797,166,11,6,144,99600,100,10,50
1fkb_ligand,-6.131354,166,12,6,144,99600,100,10,50
1fkb_ligand,-7.536415,166,13,6,144,99600,100,10,50
1fkb_ligand,-7.132491,166,14,6,144,99600,100,10,50
1fkb_ligand,-4.663038,166,1,6,144,99600,100,10,50
1fkb_ligand,-5.059843,166,2,6,144,99600,100,10,50
1fkb_ligand,-3.234148,166,3,6,144,99600,100,10,50
1fkb_ligand,-7.536463,166,4,6,144,99600,100,10,50
1fkb_ligand,-1.894686,166,5,6,144,99600,100,10,50
1fkb_ligand,388.303101,166,6,6,144,99600,100,10,50
1fkb_ligand,-4.074762,166,7,6,144,99600,100,10,50
1fkb_ligand,-3.091839,166,8,6,144,99600,100,10,50
1fkb_ligand,-5.129250,166,9,6,144,99600,100,10,50
1fkb_ligand,-4.944276,38,0,6,144,98800,100,25,100
1fkb_ligand,-2.740488,38,10,6,144,98800,100,25,100
1fkb_ligand,-4.081019,38,11,6,144,98800,100,25,100
1fkb_ligand,-7.503861,38,12,6,144,98800,100,25,100
1fkb_ligand,-7.544988,38,13,6,144,98800,100,25,100
1fkb_ligand,-5.449190,38,14,6,144,98800,100,25,100
1fkb_ligand,-6.550113,38,1,6,144,98800,100,25,100
1fkb_ligand,-4.491581,38,2,6,144,98800,100,25,100
1fkb_ligand,-3.646587,38,3,6,144,98800,100,25,100
1fkb_ligand,-7.603554,38,4,6,144,98800,100,25,100
1fkb_ligand,-2.506956,38,5,6,144,98800,100,25,100
1fkb_ligand,-4.443802,38,6,6,144,98800,100,25,100
1fkb_ligand,-4.175002,38,7,6,144,98800,100,25,100
1fkb_ligand,-2.964134,38,8,6,144,98800,100,25,100
1fkb_ligand,-4.881791,38,9,6,144,98800,100,25,100
1fkb_ligand,-17.568392,333,0,6,144,116550,100,25,10
1fkb_ligand,-1.489155,333,10,6,144,116550,100,25,10
1fkb_ligand,-3.946728,333,11,6,144,116550,100,25,10
1fkb_ligand,-6.153990,333,12,6,144,116550,100,25,10
1fkb_ligand,-5.647632,333,13,6,144,116550,100,25,10
1fkb_ligand,64.691612,333,14,6,144,116550,100,25,10
1fkb_ligand,-3.770688,333,1,6,144,116550,100,25,10
1fkb_ligand,-2.985418,333,2,6,144,116550,100,25,10
1fkb_ligand,-4.894666,333,3,6,144,116550,100,25,10
1fkb_ligand,-7.226462,333,4,6,144,116550,100,25,10
1fkb_ligand,7.977712,333,5,6,144,116550,100,25,10
1fkb_ligand,686.260559,333,6,6,144,116550,100,25,10
